iter	Passed	Remaining
880	2106	284
881	2109	282
882	2111	279
883	2114	277
884	2116	275
885	2119	272
886	2122	270
887	2125	268
888	2128	265
889	2130	263
890	2133	261
891	2136	258
892	2138	256
893	2141	253
894	2143	251
895	2146	249
896	2148	246
897	2151	244
898	2153	241
899	2156	239
900	2159	237
901	2162	234
902	2164	232
903	2166	230
904	2169	227
905	2171	225
906	2174	222
907	2177	220
908	2177	218
909	2180	215
910	2182	213
911	2185	210
912	2187	208
913	2189	206
914	2193	203
915	2195	201
916	2198	198
917	2201	196
918	2203	194
919	2206	191
920	2208	189
921	2211	187
922	2214	184
923	2217	182
924	2220	180
925	2222	177
926	2225	175
927	2228	172
928	2231	170
929	2234	168
930	2237	165
931	2239	163
932	2242	161
933	2244	158
934	2246	156
935	2249	153
936	2251	151
937	2254	148
938	2256	146
939	2258	144
940	2260	141
941	2263	139
942	2265	136
943	2267	134
944	2270	132
945	2272	129
946	2274	127
947	2276	124
948	2279	122
949	2281	120
950	2284	117
951	2286	115
952	2289	112
953	2290	110
954	2293	108
955	2295	105
956	2298	103
957	2300	100
958	2302	98
959	2305	96
960	2307	93
961	2309	91
962	2312	88
963	2314	86
964	2317	84
965	2319	81
966	2322	79
967	2324	76
968	2327	74
969	2329	72
970	2331	69
971	2334	67
972	2336	64
973	2338	62
974	2340	60
975	2342	57
976	2345	55
977	2347	52
978	2349	50
979	2352	48
980	2354	45
981	2356	43
982	2358	40
983	2361	38
984	2363	35
985	2365	33
986	2367	31
987	2370	28
988	2372	26
989	2374	23
990	2376	21
991	2378	19
992	2381	16
993	2384	14
994	2387	11
995	2389	9
996	2392	7
997	2394	4
998	2397	2
999	2399	0
